LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
NOR,TOT,USD,A,2004,39824.1188
NOR,TOT,USD,A,2005,40952.3951
NOR,TOT,USD,A,2006,42610.46164
NOR,TOT,USD,A,2007,44498.64523
NOR,TOT,USD,A,2008,45529.04313
NOR,TOT,USD,A,2009,46005.86336
NOR,TOT,USD,A,2010,46594.18608
NOR,TOT,USD,A,2011,48180.02342
NOR,TOT,USD,A,2012,49465.06851
NOR,TOT,USD,A,2013,50448.61278
NOR,TOT,USD,A,2014,50749.04262
NOR,TOT,USD,A,2015,50994.10315
NOR,TOT,USD,A,2016,50207.05948
NOR,TOT,USD,A,2017,50412.12115
NOR,TOT,USD,A,2018,50955.82984
POL,TOT,USD,A,1995,15917.76599
POL,TOT,USD,A,1996,17168.89755
POL,TOT,USD,A,1997,18059.01745
POL,TOT,USD,A,1998,18603.17356
POL,TOT,USD,A,1999,20049.75322
POL,TOT,USD,A,2000,20130.72981
POL,TOT,USD,A,2001,21338.88471
POL,TOT,USD,A,2002,21281.9734
POL,TOT,USD,A,2003,21543.24416
POL,TOT,USD,A,2004,21120.48418
POL,TOT,USD,A,2005,21062.70631
POL,TOT,USD,A,2006,21203.08404
POL,TOT,USD,A,2007,21878.22485
POL,TOT,USD,A,2008,23045.00996
POL,TOT,USD,A,2009,22998.95907
POL,TOT,USD,A,2010,23652.32651
POL,TOT,USD,A,2011,23654.20807
POL,TOT,USD,A,2012,23445.50559
POL,TOT,USD,A,2013,23712.96247
POL,TOT,USD,A,2014,24195.84838
POL,TOT,USD,A,2015,24726.12542
POL,TOT,USD,A,2016,25956.36995
POL,TOT,USD,A,2017,27057.95709
POL,TOT,USD,A,2018,29109.04376
PRT,TOT,USD,A,1995,23489.98962
PRT,TOT,USD,A,1996,24356.84002
PRT,TOT,USD,A,1997,24992.66206
PRT,TOT,USD,A,1998,25308.97729
PRT,TOT,USD,A,1999,26168.54593
PRT,TOT,USD,A,2000,26532.45832
PRT,TOT,USD,A,2001,26648.67269
PRT,TOT,USD,A,2002,26635.80073
PRT,TOT,USD,A,2003,26566.29442
PRT,TOT,USD,A,2004,26612.11692
PRT,TOT,USD,A,2005,26458.86261
PRT,TOT,USD,A,2006,25886.15108
PRT,TOT,USD,A,2007,26068.63225
PRT,TOT,USD,A,2008,25983.93756
PRT,TOT,USD,A,2009,27184.23325
PRT,TOT,USD,A,2010,27080.30185
PRT,TOT,USD,A,2011,26436.50017
PRT,TOT,USD,A,2012,25294.18881
PRT,TOT,USD,A,2013,25813.87846
PRT,TOT,USD,A,2014,25360.07583
PRT,TOT,USD,A,2015,25307.31462
PRT,TOT,USD,A,2016,25349.78641
PRT,TOT,USD,A,2017,25288.7215
PRT,TOT,USD,A,2018,25487.0637
SVK,TOT,USD,A,1994,11480.68549
SVK,TOT,USD,A,1995,12363.52029
SVK,TOT,USD,A,1996,13401.7861
SVK,TOT,USD,A,1997,15227.43898
SVK,TOT,USD,A,1998,15845.32581
SVK,TOT,USD,A,1999,15511.65399
SVK,TOT,USD,A,2000,16080.05696
SVK,TOT,USD,A,2001,16068.70649
SVK,TOT,USD,A,2002,16913.18308
SVK,TOT,USD,A,2003,17281.80747
SVK,TOT,USD,A,2004,17565.86376
SVK,TOT,USD,A,2005,18706.24278
SVK,TOT,USD,A,2006,19326.07933
SVK,TOT,USD,A,2007,20514.38732
SVK,TOT,USD,A,2008,20718.30133
SVK,TOT,USD,A,2009,21416.45177
SVK,TOT,USD,A,2010,22359.7881
SVK,TOT,USD,A,2011,22161.14524
SVK,TOT,USD,A,2012,21916.80509
SVK,TOT,USD,A,2013,22082.48241
SVK,TOT,USD,A,2014,22510.86712
SVK,TOT,USD,A,2015,23343.97434
SVK,TOT,USD,A,2016,24053.05324
SVK,TOT,USD,A,2017,24719.50495
SVK,TOT,USD,A,2018,25356.68229
ESP,TOT,USD,A,1990,35261.276
ESP,TOT,USD,A,1991,36132.66807
ESP,TOT,USD,A,1992,37151.37605
ESP,TOT,USD,A,1993,37443.57459
ESP,TOT,USD,A,1994,37541.55935
ESP,TOT,USD,A,1995,37380.03734
ESP,TOT,USD,A,1996,37925.39774
ESP,TOT,USD,A,1997,37950.14626
ESP,TOT,USD,A,1998,38019.02827
ESP,TOT,USD,A,1999,37883.01427
ESP,TOT,USD,A,2000,37250.03769
ESP,TOT,USD,A,2001,37242.04997
ESP,TOT,USD,A,2002,37517.03457
ESP,TOT,USD,A,2003,37415.83617
ESP,TOT,USD,A,2004,37029.53489
ESP,TOT,USD,A,2005,37244.82515
ESP,TOT,USD,A,2006,37103.76026
ESP,TOT,USD,A,2007,37589.70751
ESP,TOT,USD,A,2008,39102.30648
